"SourceKey","NewsSource","Headline"
12055,"wsj.com","Newsletter Do Americans Need a Second Stimulus Check?"
12056,"wsj.com","Newsletter Worse Before it Gets Better"
12057,"wsj.com","Newsletter Rolling Back Reopenings"
12058,"wsj.com","Newsletter Whats the Best Way to Support the Recovery?"
12059,"wsj.com","Newsletter Bracing For Another Downturn?"
12060,"wsj.com","Newsletter What Comes Next?"
12061,"wsj.com","Newsletter Walking the Coronavirus Tightrope"
12062,"wsj.com","Newsletter Joe Bidens 7 Trillion Plan"
12063,"wsj.com","Newsletter 600 Bln Lending Program Slowed by Fed Treasury Philosophical Differences"
12064,"wsj.com","Newsletter Growth Hinges on Containing Covid-19"
12065,"wsj.com","Newsletter The Recovery Is Losing Momentum"
12066,"wsj.com","Newsletter Can America Get Back to Work if Schools Stay Closed?"
12067,"wsj.com","Newsletter Two Steps Forward"
12068,"wsj.com","Newsletter Covid-19 Is Reshaping the Economy"
12069,"wsj.com","Newsletter Special Report Lots of Jobs Lots of Uncertainty"
12070,"wsj.com","Newsletter Is the Recovery Stalling?"
12071,"wsj.com","Newsletter Wall Street vs Main Street"
12072,"washingtonpost.com","As parents realize how badly the US botched the next school year were furious"
12073,"washingtonpost.com","In the age of coronavirus every time MLB solves one problem Blue Jays another Braves pops up"
12074,"washingtonpost.com","Beaches bars boredom Why infections are climbing again in DC Maryland and Virginia"
12075,"washingtonpost.com","McConnell says stimulus deal could take weeks which would put millions of people in limbo"
12076,"washingtonpost.com","FDA says at least 77 hand sanitizer products may be toxic"
12077,"washingtonpost.com","What matters to Clemsons Dabo Swinney? His black players past and future want to know"
12078,"washingtonpost.com","Trump suggests Congress will not drop Confederate names from military bases after all"
12079,"washingtonpost.com","Surveillance plane flew over Portland but was not involved in response to protests Air Force says"
12080,"washingtonpost.com","HomestyleFamilyRecipescom will not cave to cancel culture"
12081,"washingtonpost.com","With Jacksonville canceled can Trump win Florida?"
12082,"washingtonpost.com","Democrats brace for a flood of disinformation about vote-by-mail"
12083,"washingtonpost.com","Trump is setting us up for an Election Day nightmare"
12084,"washingtonpost.com","Small-business owners are realizing they are the victims of another Trump con"
12085,"washingtonpost.com","Why Republicans are more afraid of change than ever"
12086,"washingtonpost.com","On being a black police officer"
12087,"washingtonpost.com","Susan E Rices vice-presidential chances rest on something others lack A long relationship with Joe Biden"
12088,"washingtonpost.com","Tropical Storm Hanna heads for South Texas forecast to be a hurricane at landfall on Saturday"
12089,"washingtonpost.com","Washington Post settles lawsuit with family of Kentucky teenager"
12090,"washingtonpost.com","A white officer fresh from de-escalation training encounters a troubled black woman with a gun and a crowd"
12091,"washingtonpost.com","Understated and confident Taylor Swifts quiet new album is her best in years"
12092,"washingtonpost.com","Ohios businesses were all for mask mandates Then politics got in the way"
12093,"washingtonpost.com","When I was 12 John Lewis talked my mom into letting me march with him"
12094,"washingtonpost.com","In nearly every swing state Bidens outperforming Obama Clinton"
12095,"washingtonpost.com","The 12 most logical picks for Joe Bidens vice president ranked"
12096,"washingtonpost.com","First prayers held at Hagia Sophia after Turkey converts it from museum to mosque"
12097,"washingtonpost.com","Harry and Meghan sue paparazzi over unlawful photos of their son"
12098,"washingtonpost.com","China tells US to shut consulate in Chengdu in retaliation for Houston closure"
12099,"washingtonpost.com","Prominent Germans received neo-Nazi death threats Police are under suspicion"
12100,"washingtonpost.com","UN human rights office calls on US police to limit use of force"
12101,"washingtonpost.com","Nearly 100 years ago a man tried to blast off to Venus Now a documentary crew is on a mission to find the rocket built for that journey"
12102,"washingtonpost.com","After I discovered that my ancestors had enslaved people I connected with a descendant of those who were enslaved"
12103,"washingtonpost.com","A Buddhist teachers meditations on confronting white supremacy"
12104,"washingtonpost.com","Uighur school aims to keep a community together even during the coronavirus pandemic"
12105,"washingtonpost.com","Great green gobs of nutritional advice"
12106,"washingtonpost.com","An artist painted 1800 flowers and shipped them across the country to a hospital hit by covid-19"
12107,"washingtonpost.com","The twists and turns in Trumps executive order on immigrants and the census"
12108,"washingtonpost.com","She killed seven veterans at a West Virginia hospital Their families want to know why"
12109,"washingtonpost.com","Workers are getting laid off anew as loan program runs out"
12110,"washingtonpost.com","A federal eviction moratorium is ending Heres what renters should know"
12111,"washingtonpost.com","Goldman Sachs reaches 39 billion settlement in 1MDB scandal"
12112,"washingtonpost.com","Maybe hes born with it maybe it helps with video calls Makeup for men finds a niche"
12113,"washingtonpost.com","The three worst things about email and how to fix them"
12114,"washingtonpost.com","Coronavirus pandemic work stress How to hang on when your job is wearing you down"
12115,"washingtonpost.com","Juan Sotos positive coronavirus test result shakes Nationals sense of security"
12116,"washingtonpost.com","Trump says hell throw out first pitch at Yankees game in August"
12117,"washingtonpost.com","Nationals Yankees take a knee before the anthem in Opening Day ceremony"
12118,"washingtonpost.com","LeBron James issues a call to action in comments on Black Lives Matter Breonna Taylor"
12119,"washingtonpost.com","Ron Rivera says Washington needs to re-brand the style of football it plays in addition to its look"
12120,"washingtonpost.com","As NHL returns Capitals players and fans try to balance escapism and safety"
12121,"washingtonpost.com","Bowser says people coming from virus hot spots must quarantine for 14 days when arriving in DC"
12122,"washingtonpost.com","As cases surged in Prince Georges health department failed to contain outbreak of its own"
12123,"washingtonpost.com","Confederate memorials quietly removed from Virginia Capitol overnight"
12124,"washingtonpost.com","Kennedy Center cuts nearly 30 percent of its administrative staff"
12125,"washingtonpost.com","Former head of Howard Universitys bursars office pleads guilty to stealing more than 140000"
12126,"washingtonpost.com","The story behind The Last Great American Dynasty the most telling song on Taylor Swifts surprise album"
12127,"washingtonpost.com","Biden and Obama just showed us the future of movies in the covid-19 era"
12128,"washingtonpost.com","In a virtual escape room a family ﬁnds clues for getting through the pandemic"
12129,"washingtonpost.com","Carolyn Hax Your cousin didnt tell you she was dating your high school honey"
12130,"washingtonpost.com","Ask Amy Father-in-laws rudeness might be medical"
12131,"washingtonpost.com","Miss Manners Even poets need etiquette advice"
12132,"washingtonpost.com","This actor and choreographer are on a mission More black people running Broadway"
12133,"washingtonpost.com","The Kissing Booth sequel is better than the first Thats not saying much"
12134,"washingtonpost.com","In Kelli Jo Fords remarkable Crooked Hallelujah the maternal bond is unbreakable"
12135,"washingtonpost.com","6 ways to cut back on salt  and keep the flavor  when cooking at home"
12136,"washingtonpost.com","Nutrition research has led us astray Heres what we should study instead"
12137,"washingtonpost.com","Is there an easy way to make risotto? Yes in an Instant Pot"
12138,"washingtonpost.com","During the pandemic a new appreciation for botanical gardens blooms"
12139,"washingtonpost.com","Travel giveaways are back Heres what to know before you enter one"
12140,"washingtonpost.com","9 travel mishaps from movies"
12141,"washingtonpost.com","Where can Americans travel to in the Caribbean?"
12142,"washingtonpost.com","What to do while you cant travel? Prepare for when you can"
12143,"washingtonpost.com","My kids camp closed because of covid So we went to Colorado and created our own"
12144,"washingtonpost.com","How travel loyalty programs are raising the ante while were grounded"
12145,"washingtonpost.com","Not the camping type? Heres what you need to know about a glamping trip"
12146,"washingtonpost.com","Marriott the worlds largest hotel chain will require guests to wear masks in common areas"
12147,"washingtonpost.com","Reading Canadas coronavirus outbreak in the faces of Torontos citizens"
12148,"washingtonpost.com","Vote by mail Which states allow absentee voting"
12149,"washingtonpost.com","Demand for anti-racist literature is up These black bookstore owners hope it lasts"
12150,"washingtonpost.com","From ranch to kitchen table"
12151,"washingtonpost.com","Here are 15 of the weeks best photos"
12152,"washingtonpost.com","Schools cant open safely Pretending they can only helps Trumps gaslighting"
12153,"washingtonpost.com","The federal police in Portland dont even understand what arrests are"
12154,"washingtonpost.com","The child-care crisis punishes women in health care Without schools theyll quit"
12155,"usatoday.com","Shopping during COVID-19"
12156,"usatoday.com","COVID-19 surges in the South"
12157,"usatoday.com","Coronavirus updates Health experts call for country to shut down again Fauci says he has security after getting threats"
12158,"usatoday.com","Congressional staff member for Rep Vern Buchanan dies of COVID-19"
12159,"usatoday.com","College student visa Trump admin bars new foreign students taking online classes in US"
12160,"usatoday.com","I am someones daughter too Read Rep Ocasio-Cortezs full speech responding to Rep Ted Yoho"
12161,"usatoday.com","CDC Rapidly growing Salmonella outbreak has hit nearly 2 dozen states source unknown"
12162,"usatoday.com","DHS team deployed to Seattle unit on standby in case of new unrest in city"
12163,"usatoday.com","FAA orders emergency inspections of 2000 Boeing 737s after engine failures post-coronavirus storage"
12164,"usatoday.com","President Trump awards Medal of Freedom to former Olympic track star Jim Ryun who talks about dishonoring flag"
12165,"usatoday.com","MLB Opening Day live updates White Sox phenom Luis Robert making big-league debut"
12166,"usatoday.com","24 million Americans fear missing next rent payment as benefits dry up"
12167,"usatoday.com","Why do so many COVID patients lose their sense of smell? Scientists now know"
12168,"usatoday.com","Two meteor showers coming to a sky near you next week"
12169,"usatoday.com","North Carolina professor who resigned amid controversy over his vile tweets found dead"
12170,"usatoday.com","Police use of rubber bullets bean bag rounds has left a bloody trail for decades Those maimed say enough is enough"
12171,"usatoday.com","Best thing for our kids Vice President Mike Pence discusses reopening schools and colleges"
12172,"usatoday.com","Rep John Lewis to lie in state next week at the US Capitol"
12173,"usatoday.com","Topps selling trading card of Dr Anthony Faucis first pitch for 24 hours"
12174,"usatoday.com","Who should Joe Biden pick as his vice president? Duckworth? Demings? Harris? Rice?"
12175,"usatoday.com","20 brilliant things under 10 on Amazon that will improve your life"
12176,"usatoday.com","NBA to feature virtual fans at arenas for season restart"
12177,"usatoday.com","Florida police officer on duty in Tony McDades shooting death must be identified judge rules"
12178,"usatoday.com","Man arrested after pulling gun during mask argument at Florida Walmart"
12179,"usatoday.com","Review Folklore is the album Taylor Swift was born to make"
12180,"usatoday.com","Some travelers are still taking trips abroad during COVID-19 pandemic I feel safer exiting America"
12181,"usatoday.com","Who was Edmund Pettus? Selma bridge got its name from Confederate general KKK leader"
12182,"usatoday.com","Florida news reporter diagnosed with cancer after viewer spotted lump on air"
12183,"usatoday.com","Are Trump and the GOP right that the 600 unemployment bonus is discouraging work?"
12184,"usatoday.com","8 tips to keep you cool this summer even if youre without central air conditioning"
12185,"usatoday.com","This big giant squid was found by NOAA living in the deep waters of the Gulf of Mexico"
12186,"usatoday.com","Amazon releasing boxes with instructions on how to transform boxes into rockets cars"
12187,"usatoday.com","Teen triumphs over hardships to get to this moment"
12188,"usatoday.com","Parents Download the free summer activity guide from the Smithsonian and USA TODAY"
12189,"usatoday.com","We looked at protester demands from across the nation and compared them with recent police reforms"
12190,"wired.com","The Rental Is a Perfect Movie for Sleepy Summer Nights"
12191,"wired.com","Dark Is a Carefully Crafted Time Travel Puzzle"
12192,"wired.com","The 12 Best Laptop Backpacks for Work and Life 2020"
12193,"wired.com","Big Techs Antitrust Hearing? Theyre Almost All Guilty"
12194,"wired.com","20 Years Ago Steve Jobs Built Apples G4 Cube It Bombed"
12195,"wired.com","What Would Happen If TikTok Was Banned?"
12196,"wired.com","Rehab Centers Struggle as Covid-19 Drives Up Costs"
12197,"wired.com","How to Outrun a Dinosaur"
12198,"wired.com","Russias GRU Hackers Hit US Government and Energy Targets"
12199,"wired.com","Is It Too Soon for Covid-19 TV Shows?"
12200,"wired.com","A Crispr Cow Is Born Its Definitely a Boy"
12201,"wired.com","20 Xbox Series X Games Revealed Trailers Every Game Shown"
12202,"wired.com","During Lockdowns the Earth Sort of Stood Still"
12203,"wired.com","A Billion More Tons of Plastic Could Blanket Earth by 2040"
12204,"wired.com","Taylor Swifts Folklore The Risk and Rewards of a Pandemic Album"
12205,"wired.com","A Hidden Risk for Domestic Violence Victims Family Phone Plans"
12206,"wired.com","Gorilla Glass Victus Will Be a Lot Harder to Scratch"
12207,"wired.com","The 3 Best VR Headsets to Try and a Few Games to Play 2020"
12208,"wired.com","Leica M10-R Digital Rangefinder Review Dreamy but Decadent"
12209,"wired.com","A Wisconsin City Experiments With a Faster DIY Covid-19 Test"
12210,"cnbc.com","Here comes one of the newsiest and most critical weeks of the summer for markets"
12211,"cnbc.com","Trump signs series of executive orders aimed at lowering drug costs"
12212,"cnbc.com","Dow falls nearly 200 points suffering first negative week in four as Intel slumps"
12213,"cnbc.com","Mortgage rates just hit another record low and heres how much lower they can go"
12214,"cnbc.com","Heres what we know is in the Republican coronavirus relief bill"
12215,"cnbc.com","BofA says Great Debasement will drive move to global stocks over US"
12216,"cnbc.com","US officials wont say whether they will comply with China order to close Chengdu consulate"
12217,"cnbc.com","A second round of 1200 stimulus checks could be coming Heres how soon you can expect them"
12218,"cnbc.com","Executives are selling stock as the market experiences its epic rebound"
12219,"cnbc.com","Dr Fauci says coronavirus vaccine likely wont be widely available until several months into 2021"
12220,"cnbc.com","ESPNs MLB Opening Day games draw average of 4 million viewers up 232 from last year"
12221,"cnbc.com","Apple Amazon Facebook and Google CEO congressional hearing officially delayed"
12222,"cnbc.com","McDonalds to continue pause on dining room reopenings will require customers to wear masks"
12223,"cnbc.com","Fortnite maker Apple has locked down and crippled the App Store"
12224,"cnbc.com","FAA warns of possible engine shutdowns in safety directive on older Boeing 737 jets"
12225,"cnbc.com","Investors have more faith in bonds issued by airports than might be expected"
12226,"cnbc.com","Tesla shares slide 6 as traders take profits from 2020s high-flying stocks"
12227,"cnbc.com","Stocks making the biggest moves midday Advanced Micro Devices Tesla Intel & more"
12228,"cnbc.com","Intels latest delay shows exactly why Apple was right to ditch the company and make its own chips"
12229,"cnbc.com","Goldman Sachs agrees to 39 billion deal with Malaysia to settle criminal probe into 1MDB scandal"
12230,"cnbc.com","Individual investors are a big part of the market over last few months NYSE president says"
12231,"cnbc.com","China orders US to close a consulate after US demands it shutter Houston outpost"
12232,"cnbc.com","Pompeos speech slamming China will have the opposite effect says former US diplomat"
12233,"cnbc.com","Bankrupt Neiman Marcus to vacate the Hudson Yards mall in New York"
12234,"cnbc.com","I dont know exactly what the secret is Zooms marketing chief on its rise through the pandemic"
12235,"cnbc.com","Optimism fades that jobs lost to the pandemic will return poll finds"
12236,"cnbc.com","Landlords are encouraged to think creatively as 28 million Americans face eviction"
12237,"cnbc.com","Many in Beijing still hopeful US-China relations can improve see current tensions as temporary"
12238,"cnbc.com","Senate GOP to unveil coronavirus relief plan next week McConnell says"
12239,"cnbc.com","Goldman upgrades JPMorgan on potential for best in class returns for banks"
12240,"techcrunch.com","TwitterQ2730"
12241,"techcrunch.com","1"
12242,"techcrunch.com","725Fox Sports"
12243,"techcrunch.com","D2C 30OffLimits"
12244,"techcrunch.com","SpaceXNASACrew Dragon9"
12245,"techcrunch.com","2mVictusGalaxy note"
12246,"techcrunch.com","2"
12247,"techcrunch.com","2"
12248,"techcrunch.com",""
12249,"techcrunch.com","Twitter"
12250,"digg.com","Its Time To Take UFOs Seriously Seriously"
12251,"digg.com","Here Are Some Of The Best Reactions To Taylor Swifts New Surprise Album Folklore"
12252,"digg.com","Man Goes Down Secret Water Tunnel Disappears For An Agonizingly Long Time"
12253,"digg.com","Extremely Talkative Cat Asks Were Going? On The Way To The Vet"
12254,"digg.com","Is The Dave Franco Horror Film The Rental Any Good? Heres What The Reviews Say"
12255,"digg.com","The Americans Who Believe The Conspiracy That COVID-19 Was Planned Visualized"
12256,"digg.com","Heres An Eye-Popping Size Comparison Of All The Moons In Our Solar System"
12257,"digg.com","Trumps Campaign Made Face Masks Theyre Just Not Selling Them"
12258,"digg.com","All Your Most Paranoid Transfer Of Power Questions Answered"
12259,"digg.com","That Feeling When A Gamer Realizes The Camera Controls Are Completely Out Of Whack"
12260,"digg.com","Burning Off The Myth Of The Unlucky White Lighter"
12261,"digg.com","A Vaccine Reality Check"
12262,"digg.com","Stephen Millers Grandmother Died Of COVID-19 Her Son Blames The Trump Administration"
12263,"digg.com","Heres The Sarah Cooper Riff On Donald Trumps Cognitive Test Rant That Weve All Been Waiting For"
12264,"digg.com","Why Britney Spearss Fans Are Convinced Shes Being Held Captive"
12265,"digg.com","Save 20 On Mortal Kombat 11 Aftermath Kollection"
12266,"digg.com","Man Performs Mesmerizing Cover Of Pink Floyds The Great Gig In The Sky On Theremin Synthesizer And Continuum Fingerboard"
12267,"digg.com","Guy Goes To Great Lengths Moving His Childhood Tree To HIs New Home"
12268,"digg.com","How We Talk About Kanye West Isnt Working"
12269,"digg.com","This Video Proves That The Helicopter Is The Tow-Truck Of Alaska"
12270,"digg.com","Someone Built A Nerf Gun That Screams When You Fire It"
12271,"digg.com","The Weeks Best Memes Ranked"
12272,"digg.com","Just Because Youve Never Called A Woman A Bitch Doesnt Mean You Havent Called A Woman A Bitch"
12273,"digg.com","The Top Trending Musicians By State From 2010 To 2020 Visualized"
12274,"digg.com","The Best Places In The US To Get A Web Developer Job Visualized"
12275,"digg.com","Lockdown Was The Longest Period Of Quiet In Recorded Human History"
12276,"digg.com","Why You Cant Directly Get To Africa From Europe Unless Someone Builds This Outrageous Tunnel"
12277,"digg.com","Concentration Camp Guard Convicted In One Of The Last Nazi Trials In History"
12278,"digg.com","Dr Anthony Fauci Throws Out The First Pitch To Start The MLB Season And Its Just A Bit Outside"
12279,"digg.com","Guy Ingeniously Creates A Kite That Can Fly Without Any String"
12280,"digg.com","No Longer In Shadows Pentagons UFO Unit Will Make Some Findings Public"
12281,"digg.com","Why The Way People Use Shotguns In Movies Doesnt Make Any Logical Sense"
12282,"digg.com","A Crispr Calf Is Born Its Definitely A Boy"
12283,"digg.com","Tesla Turns A Profit For The Fourth Quarter In A Row &mdash A First For The Company"
12284,"digg.com","This Video Of Every Player On The Yankees And The Nationals Taking A Knee Before The Anthem Is Quietly Moving"
12285,"digg.com","BoJack Horsemans Diane Problem Is Now An Industry Problem"
12286,"digg.com","The 20 Best Reality Shows Of All Time"
12287,"digg.com","How Slow Motion Revolutionized The Way We Watch Movies"
12288,"digg.com","Large DNA Study Traces Violent History Of American Slavery"
12289,"digg.com","The Story Behind The Last Great American Dynasty The Most Telling Song On Taylor Swifts Surprise Album"
12290,"digg.com","This Is What Happens When You Launch Fireworks From A Drone"
12291,"digg.com","Sierra Club Examines Racist Past Painful Legacy Of John Muir"
12292,"digg.com","Death Row Inmates Are Making Art Would You Buy It?"
12293,"digg.com","If You Pulverize Feathers With A Hydraulic Press Can You Make Them Drop As Fast As A Bowling Ball?"
12294,"digg.com","Facebooks Employees Reckon With The Social Network Theyve Built"
12295,"digg.com","Why Election Day 2020 Could Be A Disaster"
12296,"digg.com","Alexandria Ocasio-Cortez Claps Back At Ted Yoho In Fiery House Floor Speech"
12297,"cbsnews.com","Newspaper delivery man turns into grocery lifeline"
12298,"cbsnews.com","Congressman Raja Krishnamoorthi on The Takeout - 7/24/2020"
12299,"cbsnews.com","Hawaii and Texas brace for possible hurricane threats"
12300,"cbsnews.com","Trump signs executive orders intended to lower drug prices"
12301,"cbsnews.com","Study identifies six different types of COVID-19"
12302,"cbsnews.com","Congress crafting Phase 4 stimulus as deadline looms on unemployment benefit bonus"
12303,"cbsnews.com","Families in ICE custody may have to choose between separation and prolonged detention"
12304,"cbsnews.com","Photographer Andre D Wagners essay On Being a Black Photographer"
12305,"cbsnews.com","Two tropical storms expected to hit US over the weekend"
12306,"cbsnews.com","Pelosi says next relief bill must be a comprehensive proposal"
12307,"cbsnews.com","Deployment of federal agents in Portland raises constitutional questions and fears of fascism"
12308,"cbsnews.com","South Africa mourns anti-apartheid leader Andrew Mlangeni"
12309,"cbsnews.com","National Institutes of Health director on coronavirus trials and vaccine development"
12310,"cbsnews.com","China launches mission to Mars"
12311,"cbsnews.com","Top tech CEOs to testify on Capitol Hill in antitrust probe"
12312,"cbsnews.com","Weekly 600 jobless benefit set to expire soon as lawmakers negotiate extension"
12313,"cbsnews.com","McDonalds mandates face masks at its 14000 US restaurants"
12314,"cbsnews.com","MLB team says its a great day to arrest the killers of Breonna Taylor"
12315,"cbsnews.com","Istanbul landmark Hagia Sophia reopens as mosque"
12316,"cbsnews.com","Portland protest leader speaks out about federal troops"
12317,"cbsnews.com","Congress debates unemployment benefits as jobless claims rise"
12318,"cbsnews.com","FDA recalls 75 brands of hand sanitizer"
12319,"cbsnews.com","Tropical Storm Gonzalo could strengthen into a hurricane"
12320,"cbsnews.com","Exploring issues of anti-Semitism and race in America"
12321,"cbsnews.com","Up next recap & links"
12322,"cbsnews.com","This week on Sunday Morning July 26"
12323,"cbsnews.com","Morehouse College president on decision to hold fall semester virtually"
12324,"cbsnews.com","Trump scraps GOP convention plans in Florida as deadline looms for stimulus benefits"
12325,"cbsnews.com","Millions could lose homes homes as federal eviction protections expire"
12326,"cbsnews.com","Scientists reveal first-ever photo of a solar system like ours"
12327,"cbsnews.com","Ann Taylor and Lane Bryant stores are now bankrupt"
12328,"cbsnews.com","Its been 11 years since last time US minimum wage was raised"
12329,"cbsnews.com","Researchers successfully train dogs to detect COVID-19 infections"
12330,"cbsnews.com","Rockefeller Foundation More COVID-19 testing could help US reopen economy"
12331,"cbsnews.com","Surgeon General on safe school return We like to see positivity rates less than 10"
12332,"cbsnews.com","Blue Jays to play majority of 2020 home games in NY"
12333,"cbsnews.com","Governor rips his partys hurtful anti-LGBT resolution"
12334,"cbsnews.com","Michael Cohen released from prison again"
12335,"cbsnews.com","The coronavirus is changing tipping as you know it"
12336,"cbsnews.com","Migrant mom detained by ICE fears being separated from her son"
12337,"cbsnews.com","Fauci says serious threats have been made against him and his family"
12338,"cbsnews.com","Who is Bill Stepien? GOP operative takes the reins at Trump campaign"
12339,"cbsnews.com","Trump demotes campaign manager Brad Parscale"
12340,"cbsnews.com","Trump campaign event features viral gun-toting St Louis couple"
12341,"cbsnews.com","New England Trump supporters on his defense of heritage"
12342,"cbsnews.com","Trump family business profits from reelection bid amid pandemic"
12343,"cbsnews.com","Summer weather has not stopped spread of coronavirus"
12344,"cbsnews.com","What happens if the president doesnt accept the election results?"
12345,"cbsnews.com","Jacksonville sheriff concerned about safely hosting GOP Convention"
12346,"theverge.com","Apples Macs might get Face ID as potentially revealed by code in macOS Big Sur"
12347,"theverge.com","Some Nest thermostats can no longer connect to the internet so Google is replacing them"
12348,"theverge.com","Faraday Future founders bankruptcy spiked a potential deal in the Middle East"
12349,"theverge.com","Beloved Nintendo president Satoru Iwatas tribute book is finally coming out in English"
12350,"theverge.com","How the worlds biggest general science society is tackling racism"
12351,"theverge.com","The NBA is using Microsoft Teams to bring basketball fans courtside"
12352,"theverge.com","Batman Mask of the Phantasm is the only movie that treats Batman like a complete person"
12353,"theverge.com","New leaks reveal Galaxy Buds Live name noise cancellation battery life and 169 price"
12354,"theverge.com","Samsungs Galaxy S20 Plus is back on sale for under 1000 on Amazon"
12355,"theverge.com","Suikodens creators are crowdfunding a spiritual successor"
12356,"mashable.com","How the Black Lives Matter movement and the pandemic change how we think about travel"
12357,"mashable.com","Elon Musks worst tweets of all time so far"
12358,"mashable.com","Giant mine in fat bear country just cleared a major hurdle"
12359,"mashable.com","Antitrust hearing with Tim Cook Jeff Bezos Mark Zuckerberg and Sundar Pichai indefinitely postponed"
12360,"mashable.com","White House lies about Paw Patrol being canceled and everything is so stupid"
12361,"mashable.com","This accessory seals your loose-fitting face mask &8212 Future Blink"
12362,"mashable.com","Best cold brew coffee makers Because no its not the same thing as iced"
12363,"mashable.com","Everything coming to Amazon Prime Video in August 2020"
12364,"mashable.com","This concept EV looks like a giant skateboard &8212 Future Blink"
12365,"mashable.com","Twitter reportedly gave more than 1000 people access to its admin panel before hack"
12366,"mashable.com","How Rosamund Pike mentally prepares for a role"
